Current,Voltage
2,0.1
3,0.2
4.5,0.3
6,0.4
7.5,0.5
8.75,0.6
10.5,0.7
11.9,0.8
13.5,0.9
14.7,1
16,1.1
17.5,1.2
19,1.3
