x-axis,1,2
second,Volt,Volt
+0.0E+00,+34.4836679697E+00,-88.8442211E-03
+500.0E-09,+34.4178026438E+00,-89.0500502E-03
+1.0000E-06,+34.3519373178E+00,-89.2558794E-03
+1.5000E-06,+34.2860719919E+00,-89.4617085E-03
+2.0000E-06,+34.2202066660E+00,-89.6675377E-03
+2.5000E-06,+34.1543413401E+00,-89.8733668E-03
+3.0000E-06,+34.0884760141E+00,-90.0791959E-03
+3.5000E-06,+34.0226106882E+00,-90.2850251E-03
+4.0000E-06,+33.9567453623E+00,-90.4908542E-03
+4.5000E-06,+33.8908800364E+00,-90.6966834E-03
+5.0000E-06,+33.8250147104E+00,-90.9025125E-03
+5.5000E-06,+33.7591493845E+00,-91.1083417E-03
+6.0000E-06,+33.6932840586E+00,-91.3141708E-03
+6.5000E-06,+33.6274187326E+00,-91.5200000E-03
+7.0000E-06,+33.5615534067E+00,-91.7258291E-03
+7.5000E-06,+33.4956880808E+00,-91.9316582E-03
+8.0000E-06,+33.4298227549E+00,-92.1374874E-03
+8.5000E-06,+33.3639574289E+00,-92.3433165E-03
+9.0000E-06,+33.2980921030E+00,-92.5491457E-03
+9.5000E-06,+33.2322267771E+00,-92.7549748E-03
+10.0000E-06,+33.1663614511E+00,-92.9608040E-03
+10.5000E-06,+33.1004961252E+00,-93.1666331E-03
+11.0000E-06,+33.0346307993E+00,-93.3724622E-03
+11.5000E-06,+32.9687654734E+00,-93.5782914E-03
+12.0000E-06,+32.9029001474E+00,-93.7841205E-03
+12.5000E-06,+32.8370348215E+00,-93.9899497E-03
+13.0000E-06,+32.7711694956E+00,-94.1957788E-03
+13.5000E-06,+32.7053041697E+00,-94.4016080E-03
+14.0000E-06,+32.6394388437E+00,-94.6074371E-03
+14.5000E-06,+32.5735735178E+00,-94.8132662E-03
+15.0000E-06,+32.5077081919E+00,-95.0190954E-03
+15.5000E-06,+32.4418428659E+00,-95.2249245E-03
+16.0000E-06,+32.3759775400E+00,-95.4307537E-03
+16.5000E-06,+32.3101122141E+00,-95.6365828E-03
+17.0000E-06,+32.2442468882E+00,-95.8424120E-03
+17.5000E-06,+32.1783815622E+00,-96.0482411E-03
+18.0000E-06,+32.1125162363E+00,-96.2540703E-03
+18.5000E-06,+32.0466509104E+00,-96.4598994E-03
+19.0000E-06,+31.9807855844E+00,-96.6657285E-03
+19.5000E-06,+31.9149202585E+00,-96.8715577E-03
+20.0000E-06,+31.9416780472E+00,-97.0773868E-03
+20.5000E-06,+31.9746107101E+00,-97.2832160E-03
+21.0000E-06,+32.0075433731E+00,-97.4890451E-03
+21.5000E-06,+32.0404760361E+00,-97.6948743E-03
+22.0000E-06,+32.0734086990E+00,-97.9007034E-03
+22.5000E-06,+32.1063413620E+00,-98.1065325E-03
+23.0000E-06,+32.1392740250E+00,-98.3123617E-03
+23.5000E-06,+32.1722066879E+00,-98.5181908E-03
+24.0000E-06,+32.2051393509E+00,-98.7240200E-03
+24.5000E-06,+32.2380720139E+00,-98.9298491E-03
+25.0000E-06,+32.2710046768E+00,-99.1356783E-03
+25.5000E-06,+32.3039373398E+00,-99.3415074E-03
+26.0000E-06,+32.3368700027E+00,-99.5473365E-03
+26.5000E-06,+32.3698026657E+00,-99.7531657E-03
+27.0000E-06,+32.4027353287E+00,-99.9589948E-03
+27.5000E-06,+32.4356679916E+00,-100.1648240E-03
+28.0000E-06,+32.4686006546E+00,-100.3706531E-03
+28.5000E-06,+32.5015333176E+00,-100.5764823E-03
+29.0000E-06,+32.5344659805E+00,-100.7823114E-03
+29.5000E-06,+32.5673986435E+00,-100.9881406E-03
+30.0000E-06,+32.6003313065E+00,-101.1939697E-03
+30.5000E-06,+32.6332639694E+00,-101.3997988E-03
+31.0000E-06,+32.6661966324E+00,-101.6056280E-03
+31.5000E-06,+32.6991292953E+00,-101.8114571E-03
+32.0000E-06,+32.7320619583E+00,-102.0172863E-03
+32.5000E-06,+32.7649946213E+00,-102.2231154E-03
+33.0000E-06,+32.7979272842E+00,-102.4289446E-03
+33.5000E-06,+32.8308599472E+00,-102.6347737E-03
+34.0000E-06,+32.8637926102E+00,-102.8406028E-03
+34.5000E-06,+32.8967252731E+00,-103.0464320E-03
+35.0000E-06,+32.9296579361E+00,-103.2522611E-03
+35.5000E-06,+32.9625905991E+00,-103.4580903E-03
+36.0000E-06,+32.9955232620E+00,-103.6639194E-03
+36.5000E-06,+33.0284559250E+00,-103.8697486E-03
+37.0000E-06,+33.0613885880E+00,-104.0755777E-03
+37.5000E-06,+33.0943212509E+00,-104.2814068E-03
+38.0000E-06,+33.1272539139E+00,-104.4872360E-03
+38.5000E-06,+33.1601865768E+00,-104.6930651E-03
+39.0000E-06,+33.1931192398E+00,-104.8988943E-03
+39.5000E-06,+33.1972358227E+00,-105.1047234E-03
+40.0000E-06,+33.1972358227E+00,-105.3105526E-03
+40.5000E-06,+33.1972358227E+00,-105.5163817E-03
+41.0000E-06,+33.1972358227E+00,-105.7222109E-03
+41.5000E-06,+33.1972358227E+00,-105.9280400E-03
+42.0000E-06,+33.1972358227E+00,-106.1338691E-03
+42.5000E-06,+33.1972358227E+00,-106.3396983E-03
+43.0000E-06,+33.1972358227E+00,-106.5455274E-03
+43.5000E-06,+33.1972358227E+00,-106.7513566E-03
+44.0000E-06,+33.1972358227E+00,-106.9571857E-03
+44.5000E-06,+33.1972358227E+00,-107.1630149E-03
+45.0000E-06,+33.1972358227E+00,-107.3688440E-03
+45.5000E-06,+33.1972358227E+00,-107.5746731E-03
