x-axis,1,2
second,Volt,Volt
+0.0E+00,-71.2359447394E+00,+176.0216751E-03
+500.0E-09,-71.2398040359E+00,+175.9322681E-03
+1.0000E-06,-71.2436633323E+00,+175.8428611E-03
+1.5000E-06,-71.2475226287E+00,+175.7534540E-03
+2.0000E-06,-71.2513819252E+00,+175.6640470E-03
+2.5000E-06,-71.2552412216E+00,+175.5746400E-03
+3.0000E-06,-71.2591005181E+00,+175.4852329E-03
+3.5000E-06,-71.2629598145E+00,+175.3958259E-03
+4.0000E-06,-71.2668191110E+00,+175.3064189E-03
+4.5000E-06,-71.2706784074E+00,+175.2170118E-03
+5.0000E-06,-71.2745377038E+00,+175.1276048E-03
+5.5000E-06,-71.2783970003E+00,+175.0381978E-03
+6.0000E-06,-71.2822562967E+00,+174.9487907E-03
+6.5000E-06,-71.2861155932E+00,+174.8593837E-03
+7.0000E-06,-71.2899748896E+00,+174.7699767E-03
+7.5000E-06,-71.2938341860E+00,+174.6805696E-03
+8.0000E-06,-71.2976934825E+00,+174.5911626E-03
+8.5000E-06,-71.3015527789E+00,+174.5017556E-03
+9.0000E-06,-71.3054120754E+00,+174.4123485E-03
+9.5000E-06,-71.3092713718E+00,+174.3229415E-03
+10.0000E-06,-71.3131306682E+00,+174.2335345E-03
+10.5000E-06,-71.3169899647E+00,+174.1441274E-03
+11.0000E-06,-71.3208492611E+00,+174.0547204E-03
+11.5000E-06,-71.3247085576E+00,+173.9653134E-03
+12.0000E-06,-71.3285678540E+00,+173.8759063E-03
+12.5000E-06,-71.3324271505E+00,+173.7864993E-03
+13.0000E-06,-71.3362864469E+00,+173.6970922E-03
+13.5000E-06,-71.3401457433E+00,+173.6076852E-03
+14.0000E-06,-71.3440050398E+00,+173.5182782E-03
+14.5000E-06,-71.3478643362E+00,+173.4288711E-03
+15.0000E-06,-71.3517236327E+00,+173.3394641E-03
+15.5000E-06,-71.3555829291E+00,+173.2500571E-03
+16.0000E-06,-71.3594422255E+00,+173.1606500E-03
+16.5000E-06,-71.3633015220E+00,+173.0712430E-03
+17.0000E-06,-71.3671608184E+00,+172.9818360E-03
+17.5000E-06,-71.3710201149E+00,+172.8924289E-03
+18.0000E-06,-71.3748794113E+00,+172.8030219E-03
+18.5000E-06,-71.3787387077E+00,+172.7136149E-03
+19.0000E-06,-71.3825980042E+00,+172.6242078E-03
+19.5000E-06,-71.3864573006E+00,+172.5348008E-03
+20.0000E-06,-71.3903165971E+00,+172.4453938E-03
+20.5000E-06,-71.3941758935E+00,+172.3559867E-03
