Voltage,Current
0.88,0.089
0.94,0.088
1.81,0.087
2.68,0.086
3.17,0.077
3.40,0.066
3.56,0.058
3.68,0.051
3.78,0.046
3.85,0.042
3.91,0.038
3.95,0.035
4.00,0.033
4.03,0.031
4.06,0.028
4.20,0.021
4.27,0.017
4.32,0.014
4.38,0.010
4.46,0.007
4.53,0.004
4.59,0.001
4.66,0.0006
