VOLTAGE,CURRENT
-0.000395365,-1.69E-08
0.93378067,0.000999467
0.944966316,0.001997884
0.951456606,0.002996665
0.955925226,0.003998274
0.959533751,0.004997186
0.962780118,0.005995788
0.965441763,0.006997135
0.967604518,0.007995653
0.969699562,0.008997679
0.97173959,0.009996668
-0.000343546,-1.19E-08
-0.996274769,-1.10E-08
-1.996622086,-1.54E-08
-2.994998455,-1.54E-08
-3.993135452,-1.49E-08
-4.991177559,-1.90E-08
-5.839553833,-0.000999669
-5.839892387,-0.00200052
-5.843060493,-0.003002356
-5.84650135,-0.004001268
-5.849984646,-0.004999608
-5.853447914,-0.006001157
-5.856939316,-0.006999699
-5.860409737,-0.007998588
-5.863904953,-0.008997189
-5.867426872,-0.009999041
