VOLTAGE,CURRENT
-0.000320591,-1.13E-08
0.822235644,0.000999514
0.838541031,0.00199786
0.847811997,0.002996725
0.85436523,0.003998381
0.859703541,0.004997329
0.86392343,0.005995967
0.867566407,0.006997349
0.870687366,0.007995916
0.873387516,0.008997989
0.875804842,0.009997037
-0.00031773,-9.90E-09
-0.996378362,-1.11E-08
-1.996760845,-1.82E-08
-2.995236874,-1.48E-08
-3.993460178,-1.59E-08
-4.991578102,-2.64E-08
-5.98985672,-3.10E-06
-6.031513214,-0.000999736
-6.02492857,-0.002000795
-6.027835846,-0.00300269
-6.031716824,-0.004001638
-6.035734177,-0.005000001
-6.039790154,-0.006001621
-6.043803692,-0.007000188
-6.047848225,-0.007999112
-6.051866531,-0.008997738
-6.05591917,-0.009999578
