VOLTAGE,CURRENT
-0.000327267,-1.22E-08
0.645862997,0.000999514
0.670475304,0.001997896
0.684333265,0.002996737
0.695206523,0.003998405
0.705868483,0.004997341
0.712282777,0.005995932
0.7174896,0.006997301
0.721872985,0.007995903
0.725714564,0.008997966
0.729133368,0.009996989
-0.000320345,-1.34E-08
-0.997189224,-1.82E-08
-1.996759415,-1.75E-08
-2.995221138,-1.67E-08
-3.993433952,-1.63E-08
-4.991542816,-3.55E-08
-5.989818573,-7.05E-07
-6.31967926,-0.000999727
-6.31482029,-0.002000747
-6.318184376,-0.003002654
-6.32235527,-0.004001566
-6.326623917,-0.00499993
-6.330884457,-0.006001502
-6.335079193,-0.007000105
-6.339277267,-0.007999017
-6.343463898,-0.008997667
-6.34762764,-0.00999947
