VOLTAGE,CURRENT
-0.000323765,-1.43E-08
0.681343198,0.000999518
0.704121351,0.00199786
0.716967344,0.002996713
0.726204276,0.003998369
0.734176695,0.004997329
0.740277231,0.005995955
0.745200038,0.006997301
0.749406457,0.007995891
0.753023028,0.008997953
0.756244481,0.009997001
-0.000320666,-1.62E-08
-0.99733603,-1.43E-08
-1.996753693,-1.19E-08
-2.995227337,-1.81E-08
-3.993448257,-1.38E-08
-4.991559029,-3.37E-08
-5.989834785,-7.14E-07
-6.26807642,-0.000999727
-6.262537956,-0.002000759
-6.265864372,-0.003002666
-6.270000935,-0.004001602
-6.27423954,-0.004999978
-6.278465271,-0.006001562
-6.282665253,-0.007000129
-6.286838531,-0.007999064
-6.291021347,-0.008997702
-6.295176506,-0.009999529
