VOLTAGE,CURRENT
-0.000321709,-1.55E-08
0.864248931,0.000999513
0.878452063,0.001997813
0.886698484,0.002996689
0.892628193,0.003998357
0.897361457,0.004997329
0.90117687,0.005995932
0.904666483,0.006997313
0.907962441,0.007995891
0.910535038,0.008997953
0.912792385,0.009997001
-0.000318207,-1.71E-08
-0.99597013,-1.72E-08
-1.996763229,-1.51E-08
-2.995240211,-1.68E-08
-3.993463516,-1.43E-08
-4.991581917,-2.21E-08
-5.947644234,-0.000999728
-5.950407028,-0.002000807
-5.95421505,-0.00300269
-5.95813179,-0.00400165
-5.962041855,-0.005000001
-5.9659729,-0.006001586
-5.969860077,-0.007000188
-5.973768234,-0.007999124
-5.977628708,-0.008997738
-5.981557846,-0.009999589
