VOLTAGE,CURRENT
-0.000364438,-1.22E-08
0.73991549,0.000999509
0.760140479,0.001997872
0.771642506,0.002996737
0.781059206,0.003998357
0.789004862,0.004997318
0.794597208,0.005995919
0.799130619,0.006997277
0.802899718,0.007995856
0.806226254,0.008997929
0.809220374,0.009996977
-0.000322238,-1.10E-08
-0.996819973,-1.32E-08
-1.996741772,-1.74E-08
-2.995190144,-1.79E-08
-3.99339819,-1.10E-08
-4.99149847,-2.70E-08
-5.989758492,-8.35E-07
-6.162160873,-0.000999727
-6.156101704,-0.002000747
-6.159126282,-0.00300263
-6.16304493,-0.004001602
-6.167136192,-0.004999918
-6.171238899,-0.006001502
-6.175305367,-0.007000129
-6.179374695,-0.007999005
-6.183472633,-0.008997642
-6.187511444,-0.00999947
