VOLTAGE,CURRENT
-0.000331767,-1.43E-08
0.894063413,0.000999513
0.907242358,0.001997825
0.917730689,0.002996701
0.924937904,0.003998334
0.93042165,0.004997329
0.93421638,0.005995944
0.93771255,0.00699729
0.940528035,0.007995868
0.942967892,0.008997941
0.945150852,0.009996966
-0.000328764,-1.18E-08
-0.995020747,-1.24E-08
-1.996766567,-1.53E-08
-2.995232105,-1.62E-08
-3.993450642,-1.90E-08
-4.991565228,-2.40E-08
-5.884682178,-0.000999729
-5.885641098,-0.002000771
-5.888812542,-0.00300269
-5.892157555,-0.004001614
-5.895572186,-0.004999989
-5.898965359,-0.006001562
-5.902359486,-0.007000188
-5.905762196,-0.007999089
-5.909162521,-0.008997726
-5.912572861,-0.009999566
