VOLTAGE,CURRENT
-0.000337698,-6.80E-09
0.91190666,0.000999507
0.923288465,0.001997837
0.93429029,0.002996701
0.942169607,0.00399831
0.947067618,0.004997282
0.950713575,0.005995872
0.953605056,0.006997254
0.956057191,0.00799582
0.958215296,0.008997859
0.960130453,0.009996929
-0.00032834,-7.40E-09
-0.996395528,-1.12E-08
-1.996734619,-1.85E-08
-2.995184422,-1.25E-08
-3.993387222,-9.31E-09
-4.991490364,-2.44E-08
-5.86017561,-0.000999719
-5.860718727,-0.002000747
-5.863996983,-0.00300263
-5.867520332,-0.004001614
-5.871048927,-0.00499993
-5.874635696,-0.006001514
-5.878195763,-0.007000129
-5.881757736,-0.007999005
-5.885354042,-0.008997642
-5.888941288,-0.009999494
