VOLTAGE,CURRENT
-0.00037095,-8.95E-09
0.715907633,0.000999492
0.737410784,0.001997825
0.749558508,0.002996641
0.758110642,0.003998274
0.764705002,0.00499721
0.770180762,0.005995824
0.774828136,0.006997135
0.778650761,0.007995713
0.782282531,0.008997738
0.785536349,0.00999675
-0.000329062,-1.51E-08
-0.995318055,-1.59E-08
-1.996683121,-1.04E-08
-2.995090008,-1.50E-08
-3.99326086,-1.25E-08
-4.991329193,-3.20E-08
-5.989566803,-7.43E-07
-6.211404324,-0.00099971
-6.204439163,-0.002000735
-6.207176208,-0.003002583
-6.211279869,-0.004001555
-6.215620518,-0.004999846
-6.219974041,-0.006001419
-6.224330902,-0.006999985
-6.228635788,-0.007998898
-6.232972145,-0.008997523
-6.237344742,-0.009999351
