Capacitance,Capacitance 2,Temperature
405,403,40
407,405,45
409,406,50
410,408,55
414,411,60
416,414,65
420,417,70
423,421,75
428,426,80
434,430,85
440,437,90
448,446,95
459,458,100
469,469,105
484,485,110
503,502,115
529,528,120
564,563,125
594,594,130
622,620,135
628,627,137
632,630,140
625,624,142
613,613,145
583,580,150
550,547,155
518,516,160
490,488,165
464,464,170
